Time Stamp,Acceleration
22698136,-2.1567
22700008,-2.1567
22701896,-1.6497
22703780,-1.1817
22705668,-1.1817
22707560,-0.5733
22709432,-0.2145
22711308,0.1599
22713176,0.1599
22715036,0.3081
22716896,0.3315
22718764,0.3003
22720628,0.3003
22722476,0.0585
22724328,-0.2067
22726196,-0.5655
22728072,-0.5655
22729948,-0.9672
22731820,-1.2636
22733704,-1.5873
22735588,-1.5873
22737468,-1.7082
22739352,-1.8447
22741232,-1.8603
22743116,-1.8603
22744992,-1.7628
22746876,-1.6107
22748752,-1.6107
22750632,-1.3416
22752512,-1.1193
22754400,-0.8151
22756276,-0.8151
22758156,-0.5772
22760040,-0.4017
22761912,-0.2379
22763784,-0.2379
22765660,-0.1443
22767536,-0.1482
22769412,-0.234
22771276,-0.234
22773144,-0.4368
22775024,-0.6396
22776900,-0.8892
22778772,-0.8892
22780648,-1.0998
22782520,-1.3104
22784400,-1.4469
22786280,-1.4469
22788164,-1.5093
22790044,-1.521
22791924,-1.4547
22793808,-1.4547
22795696,-1.3338
22797584,-1.1856
22799468,-1.1856
22801356,-1.0062
22803228,-0.8307
22805096,-0.6864
22806960,-0.6864
22808836,-0.5616
22810712,-0.507
22812572,-0.4875
22814444,-0.4875
22816308,-0.5187
22818184,-0.5928
22820056,-0.6747
22821928,-0.6747
22823804,-0.7722
22825680,-0.8853
22827556,-0.9867
22829428,-0.9867
22831304,-1.1271
22833196,-1.1934
22835084,-1.2597
22836968,-1.2597
22838848,-1.2558
22840736,-1.2558
22842624,-1.2051
22844508,-1.2051
22846392,-1.1076
22848276,-1.0218
22850160,-1.0218
22852040,-0.9126
22853912,-0.8229
22855784,-0.7527
22857660,-0.7527
22859532,-0.6864
22861408,-0.6552
22863284,-0.663
22865152,-0.663
22867024,-0.6903
22868896,-0.4758
22870768,-0.3588
22872636,-0.3588
22874508,-0.4095
22876380,-0.6942
22878260,-1.0218
22880140,-1.0218
22882024,-1.3533
22883908,-1.5015
22885788,-1.4586
22887676,-1.4586
22889560,-1.3104
22891448,-1.0803
22893320,-1.0803
22895188,-0.9126
22897064,-0.78
22898924,-0.7488
22900792,-0.7488
22902664,-0.7488
22904532,-0.7527
22906404,-0.7839
22908272,-0.7839
22910148,-0.7761
22912024,-0.5616
22913896,-0.3861
22915776,-0.3861
22917652,-0.4407
22919516,-0.9243
22921396,-1.1895
22923276,-1.1895
22925164,-1.2402
22927044,-1.1934
22928932,-1.1427
22930820,-1.1427
22932708,-1.1037
22934588,-1.0296
22936468,-1.014
22938348,-1.014
22940224,-0.9789
22942096,-0.9438
22943968,-0.9438
22945844,-0.8892
22947712,-0.8736
22949596,-0.8502
22951468,-0.8502
22953336,-0.8697
22955208,-0.858
22957076,-0.8853
22958952,-0.8853
22960828,-0.8736
22962704,-0.8814
22964576,-0.8892
22966448,-0.8892
22968312,-0.897
22970184,-0.8931
22972056,-0.8814
22973928,-0.8814
22975800,-0.8853
22977676,-0.8892
22979540,-0.8892
22981416,-0.9126
22983296,-0.9321
22985176,-0.9282
22987044,-0.9282
22988916,-0.9243
22990792,-0.936
22992660,-0.9204
22994520,-0.9204
22996396,-0.8853
22998268,-0.8736
23000144,-0.8541
23002016,-0.8541
23003892,-0.8229
23005768,-0.8034
23007636,-0.8229
23009512,-0.8229
23011384,-0.8112
23013260,-0.819
23015136,-0.8424
23017000,-0.8424
23018876,-0.8697
23020748,-0.8892
23022620,-0.8892
23024492,-0.9126
23026372,-0.9165
23028252,-0.9165
23030124,-0.9165
23031996,-0.9087
23033864,-0.8658
23035732,-0.8502
23037604,-0.8502
23039468,-0.8151
23041348,-0.78
23043208,-0.7722
23045068,-0.7722
23046944,-0.7839
23048820,-0.7995
23050692,-0.8112
23052568,-0.8112
23054440,-0.8073
23056304,-0.7917
23058176,-0.7878
23060048,-0.7878
23061920,-0.7956
23063792,-0.7956
23065664,-0.7956
23067536,-0.8034
23069408,-0.8151
23071276,-0.8268
23073148,-0.8268
23075020,-0.8385
23076892,-0.8463
23078764,-0.8658
23080640,-0.8658
23082512,-0.8658
23084384,-0.8736
23086260,-0.8541
23088132,-0.8541
23090008,-0.8502
23091876,-0.8619
23093744,-0.858
23095612,-0.858
23097484,-0.8385
23099352,-0.8775
23101228,-0.8775
23103100,-0.8892
23104964,-0.8892
23106836,-0.8697
23108708,-0.8697
23110580,-0.858
23112452,-0.8307
23114316,-0.8268
23116188,-0.8268
23118064,-0.7839
23119936,-0.7878
23121812,-0.7956
23123676,-0.7956
23125544,-0.8073
23127412,-0.8073
23129284,-0.8541
23131156,-0.8541
23133032,-0.8619
23134904,-0.8814
23136784,-0.8814
23138656,-0.8814
23140528,-0.8892
23142392,-0.8931
23144276,-0.8931
23146152,-0.9087
23148020,-0.9204
23149888,-0.9048
23151756,-0.9048
23153620,-0.9126
23155492,-0.936
23157368,-0.9555
23159236,-0.9555
23161108,-0.9555
23162980,-0.9672
23164856,-0.9594
23166728,-0.9594
23168604,-0.9282
23170480,-0.9399
23172348,-0.9555
23174224,-0.9555
23176096,-0.9555
23177972,-0.9594
23179848,-0.9594
23181720,-0.9633
23183596,-0.9633
23185468,-0.9633
23187340,-0.9633
23189220,-0.9633
23191096,-0.9672
23192972,-0.975
23194836,-0.975
23196708,-0.9711
23198584,-0.9672
23200464,-0.9945
23202328,-0.9945
23204200,-0.9984
23206072,-1.0179
23207956,-1.0296
23209832,-1.0296
23211708,-1.0608
23213580,-1.0803
23215452,-1.0959
23217328,-1.0959
23219196,-1.0842
23221080,-1.0881
23222964,-1.0881
23224840,-1.0881
23226716,-1.0686
23228592,-1.0452
23230464,-1.0452
23232348,-1.014
23234220,-1.0257
23236092,-1.014
23237968,-1.014
23239844,-1.0023
23241712,-0.9984
23243596,-0.9945
23245472,-0.9945
23247340,-0.9984
23249212,-0.9984
23251092,-0.9945
23252960,-0.9945
23254836,-0.9867
23256712,-0.9945
23258580,-0.9789
23260448,-0.9789
23262324,-0.9711
23264200,-0.9789
23266076,-0.9789
23267956,-0.9633
23269836,-0.9516
23271708,-0.9555
23273576,-0.9555
23275452,-0.9438
23277320,-0.9282
23279188,-0.9243
23281060,-0.9243
23282932,-0.9048
23284800,-0.9048
23286668,-0.897
23288532,-0.897
23290396,-0.8736
23292272,-0.8736
23294148,-0.8736
23296020,-0.8736
23297892,-0.8463
23299768,-0.8385
23301644,-0.8424
23303516,-0.8424
23305388,-0.8151
23307260,-0.7995
23309136,-0.7995
23311008,-0.7878
23312884,-0.7917
23314760,-0.7839
23316632,-0.7839
23318496,-0.7917
23320372,-0.7917
23322240,-0.7917
23324108,-0.7917
23325980,-0.8073
23327852,-0.7995
23329724,-0.7995
23331592,-0.7995
23333468,-0.7878
23335344,-0.7761
23337220,-0.7683
23339092,-0.7683
23340968,-0.7839
23342844,-0.7917
23344724,-0.8034
23346592,-0.8034
23348460,-0.8619
23350340,-0.897
23352204,-0.897
23354068,-0.9204
23355932,-0.9243
23357808,-1.1544
23359692,-1.1544
23361580,-0.9789
23363452,-1.0803
23365328,-1.3416
23367208,-1.3416
23369096,-1.3884
23370980,-1.9149
23372864,-5.0271
23374744,-5.0271
23376624,-10.5729
23378556,-15.3309
23380492,-15.9471
23382428,-15.9471
23384364,-15.9744
23386300,-15.9744
23388232,-7.761
23390112,-7.761
23391992,11.427
23393916,15.7872
23395848,15.9588
23397776,15.9588
23399704,15.9666
23401632,15.9666
23403560,15.9666
23405488,15.9666
23407412,15.9666
23409336,15.9666
23411268,10.9902
23413192,-0.234
23415060,-0.234
23416928,-11.0916
23418860,-15.7482
23420796,-15.9666
23422732,-15.9666
23424676,-15.9744
23426612,-15.9744
23428544,-15.9744
23430476,-15.9744
23432408,-15.9744
23434340,-14.3325
23436276,-5.928
23438160,-5.928
23440036,4.8204
23441900,14.7147
23443824,15.9159
23445752,15.9159
23447688,15.9627
23449620,15.9666
23451548,15.9666
23453472,15.9666
23455404,15.9666
23457328,13.2483
23459260,5.3235
23461144,5.3235
23463020,-3.4515
23464896,-10.9863
23466828,-15.5766
23468760,-15.5766
23470696,-15.9588
23472632,-15.9744
23474572,-15.9744
23476508,-15.9744
23478440,-15.9744
23480372,-13.5057
23482300,-7.2774
23484180,0.0156
23486040,0.0156
23487908,8.2797
23489780,14.9721
23491708,14.9721
23493644,15.9276
23495576,15.9666
23497500,15.9666
23499432,15.2295
23501360,15.2295
23503292,11.0955
23505220,5.6628
23507092,-0.3003
23508952,-0.3003
23510816,-5.8071
23512696,-10.4286
23514628,-13.4433
23516568,-13.4433
23518508,-15.0852
23520440,-15.1476
23522380,-13.8957
23524312,-13.8957
23526248,-11.0838
23528172,-7.2267
23530052,-1.6692
23531940,-1.6692
23533828,4.1067
23535708,9.6876
23537576,12.6243
23539504,12.6243
23541432,13.3068
23543352,12.3942
23545280,9.9879
23547160,9.9879
23549036,6.5988
23550908,2.9055
23552780,-1.2207
23554652,-1.2207
23556532,-4.5864
23558408,-7.6986
23560284,-9.6057
23562156,-9.6057
23564036,-10.6938
23565972,-10.5183
23567904,-9.3171
23569792,-9.3171
23571680,-6.7782
23573564,-3.4944
23575444,-3.4944
23577328,-0.3276
23579208,2.4258
23581080,4.6605
23582952,4.6605
23584828,6.1113
23586704,6.6924
23588576,6.4506
23590448,6.4506
23592320,5.538
23594196,3.9
23596056,1.8369
23597928,1.8369
23599800,-0.351
23601664,-2.5662
23603548,-4.3407
23605424,-4.3407
23607292,-5.7369
23609176,-6.5091
23611052,-6.6183
23612936,-6.6183
23614816,-6.1386
